CODICE ARTICOLO,NOME,CATEGORIA,PREZZO,LINK IMG
(501-11-11-23-00 +  056-18-02),MANIGLIA E SERRATURA DP16-18-60 (501-11-11-23-00 +  056-18-02),MECCANICA,100,
0-34-0009-00,Molla per pulsante antivandalo anodizzato,MECCANICA,1,
0-34-0020-01,AK9 - Pulsante anodizzato KIT TASTO DP60,MECCANICA,,
0-34-0061-01,SPORTELLO RITIRO PRODOTTO DP10 - VERNICIATO,MECCANICA,60,
0-34-0075-PL,Paratia larga sx per silos alto prod. stand in plastica SILOS-PL-007-SX2,MECCANICA,10,
0-34-0076-PL,Paratia larga dx per silos alto prod.std. in plastica SILOS-PL-007-DX,MECCANICA,10,
0-34-0078-PL,Paratia sx silos corto prod. std. in plastica SILOS-PL-070-SX,MECCANICA,7,5
0-34-0079-PL,Paratia dx silos corto prod. std in plastica SILOS-PL-070-DX,MECCANICA,7,5
0-34-0080-PL,Paratia dx silos corto prod.piccoli plastica SILOS-PL-036-DX (3pz),MECCANICA,7,5
0-34-0081-PL,Paratia sx silos corto prod.piccoli plastica SILOS-PL-036-SX (3pZ),MECCANICA,7,5
0-34-0082-PL,Silos corto in plastica SILOS-PL-010 (POSTERIORE CANALINA),MECCANICA,,
0-34-0083-PL,"Silos lungo in plastica ""SILOS-PL-001"" (POSTERIORE CANALINA)",MECCANICA,10,
001-001190,GUARNIZIONE ARMATA PER IL SUPPORTO VETRO DP60 E DP40,GUARNIZIONI,,
001-001201,GUARNIZIONE ARMATA PER VETROCAMERA DP30,MECCANICA,5,
003-000163,GUARNIZIONE A PALLONCINO ADESIVA PER DP60 E DP18 TOUCH,GUARNIZIONI,,
0365579#,PIEDISTALLO DP18,ACCESSORI,,
0365579#.,PIEDISTALLO DP18 IN CATAFORESI,ACCESSORI,290,
2-00-0044-00,Serratura 4 mandate CISA 57226 60 - DP14 E DP7 PAYTEC,MECCANICA,75,
2-00-0051-00,LETTORE BANCONOTE V7 NUOVO,PERIFERICHE,390,
2-00-0051-04,Stacker per lettore V7 ICT da 200 banconote,PERIFERICHE,30,
2-00-0053-00,GETT. EMP890 WH DP14-7-4 PAYTEC,PERIFERICHE,185,
2-00-0114-00,GETT. P10 EVO PARALLELA PER DP16,PERIFERICHE,127,
2-00-0115-00-CCTALK,HOPPER RENDI RESTO MKII CCTALK,PERIFERICHE,127,
2-00-0117-00,MOTOR DISPENSER MD1112 CCTALK DP14-7-4 PAYTEC,PERIFERICHE,43,
2-00-0123-00 (NON USARE),RENDI RESTO MEI 5 TUBI CONFIG. DAC 1x2€ 2x1€ 1x0.50€ 1x0.10€,PERIFERICHE,530,
2-00-0123-00-1,RENDI RESTO MEI 5 TUBI CONFIG. BC (TABACCHI),PERIFERICHE,,
2-00-0123-01,RENDI RESTO MEI - 2x2€ 2x1€ 1x0.50€ (X FARMACIA),PERIFERICHE,530,
2-00-0125-00,RENDI RESTO NRI 2x2€ - 2x1€ - 2x0.5€,PERIFERICHE,450,
2-00-0129-09,RENDI RESTO COINCO 6 TUBI DP60,PERIFERICHE,450,
2-00-0129-09-U,RENDI RESTO COINCO 6 TUBI DP60 - RIGENERATA,PERIFERICHE,300,
2-00-0137-00,Termostato LAE,PERIFERICHE,140,
2-00-0137-01,TERMOSTATO EMMERSON XR70CX,PERIFERICHE,150,
2-00-0138-01,Sonda NG6 3.0MT  NTC da 40 gradi a 110 gradi - EVTPN630F200,ELETTRONICA,10,
2-00-0141-00,NRI TABACCHI,PERIFERICHE,,
2-00-141-00,SERRATURA TUBOLARE A 2 USCITE - DP10-14-7-4,MECCANICA,21,
2-00-143-11,MANIGLIA DP8 NEW,MECCANICA,35,
2-01-0097-04,X5 Dynamic PayOut new c/cinghia standard e senza cinch,PERIFERICHE,190,
2-02-0016-00,Rotolo termico 35mm D70 x stampante TG35-T,ACCESSORI,8,
2-02-0033-00-U,STAMPANTE TG02 35MM DP14-7-4 PAYTEC - RIGENERATA,PERIFERICHE,130,
2-02-0037-01,Stampante Sanei con taglierina,PERIFERICHE,220,
2-02-0042-00,LETTORE BANCONOTE XBA,PERIFERICHE,550,
2-02-0042-02,Stacker 200 banconote XBA,PERIFERICHE,72,
2-02-0044-00,STAMPANTE TG02-H 58MM DP18-16-10-8-4 MICROHARD,PERIFERICHE,180,
2-02-0046-01,Stampante BETA2 RS232 PAY-PFI-4052-00 portarot.posteriore,PERIFERICHE,180,
26000110.0,Elettromagnete 24vdc per DP8,ELETTRONICA,,
3005117,SCHIENA PER DP18 FINITA,MECCANICA,,
3009172,KIT POS DUO INGENICO PER DP60 EX (POS-004),ACCESSORI,,
3009172-,KIT POS DUO INGENICO PER DP40 EX (POS-005),ACCESSORI,,
3025752*,KIT RASPBERRY DP8,PERIFERICHE,,
3025752.,KIT RASPBERRY DP18,PERIFERICHE,90,
3113178.,TETTOIA DP60 + LOCKER,ACCESSORI,,
3258700.,TETTOIA PER DD60 TOUCH E DP60 NEW COMPLETA DI ACCESSORI,PLEXIGLASS,250,
3260431,KIT Tettoia per DP24,PLEXIGLASS,,
3261455,KIT TETTOIA DP60/DD60 TOUCH + LOCKER COMPLETO DI ACCESSORI,PLEXIGLASS,,
8-KIT-BO1,Kit barriere ottiche MH627 con filtro luce IR,ELETTRONICA,84,
8-KIT-QR,Kit Faramacomodo per macchine DDX,ACCESSORI,185,
943BT090700333,IUC 250 LETTORE,ACCESSORI,,
944BT140000002,MODULO MDB PER DUO,ACCESSORI,,
946BT140300700,Pin Pad IUP250,PERIFERICHE,700,
946BT140300700-U,Pin Pad IUP250,PERIFERICHE,400,
946BT140900733,PIN PAD LE,ACCESSORI,,
946BT150100200,Lettore Ibrido IUR250,PERIFERICHE,400,
946BT150100200-U,Lettore Ibrido IUR250 - RIGENERATO,PERIFERICHE,240,
ADATT-SD,Adattatore micro SD,ELETTRONICA,,
ADES-38,ETICHETTE NUERAZIONE DA 10 A 69,ACCESSORI,10,
ADES-83,ETICHETTE NUERAZIONE DA 10 A 42 - cassetti con led prezzi,ACCESSORI,10,
ADES-84,ETICHETTE NUERAZIONE DA 10 A 69 - cassetti con led prezzi,ACCESSORI,10,
ADES-87,Adesivo POS DP40,ACCESSORI,3,
ADES-88,Adesivo POS DP60,ACCESSORI,3,
ADES-89,ADESIVO CONTACTLESS DP60-40,ACCESSORI,1,
AL-16,ALETTE RAFFREDDAMENTO RASPBERRY PI3,ACCESSORI,,
ALIM-002,ALIMENTATORE SWITCHING 12V 100W DP60-18-16-10-8,ELETTRONICA,50,
ALIM-003,ALIMENTATORE SWITCHING 24V 100W DP60-18-16-10-8,ELETTRONICA,50,
ALIM-012,Alimentatore NDR-240-24 AC/DC 240w 24v,ELETTRONICA,,
ALIM-014,ALIM. 24V 150W NUOVI ALIMENTATORI DP40/60,ELETTRONICA,60,
BATT-12V-1,Batteria al Pb 12V 1.3A,ELETTRONICA,15,
BATT-12V-5A,Batteria 12V 5Ah al Pb AGM VRLA Energy Safe C20 per DD60 TOUCH E DD90,PERIFERICHE,25,
BUZ07-CL,SIRENA PER DISTRIBUTORE CABLATA,ELETTRONICA,10,
CASSETTA COINCO,Cassetta completa di tubi Coinco,PERIFERICHE,85,
COM.021.001.00161,POWERLINE,ACCESSORI,,
CR-002,LETTORE DI ETA' AGE300 (VOLPI),ELETTRONICA,,
CR-003,LETTORE ETA' AGE 300 - VOLPI - PER TABACCHI DS50/60,PERIFERICHE,,
DD10-025,Dp10 Asta serratura zincata,MECCANICA,45,
DD10-037,Staffa lucchetto,MECCANICA,20,
DD10-060,Dp10 cassetta monete zincata,MECCANICA,40,
DD10-135A,MODIFICA SCIVOLO RENDI RESTO DP10,MECCANICA,5,
DD10-139,Staffa protezione lettore banconote,MECCANICA,10,
DD10-900,Dp10 supporto leggenda e display in plexiglass serigrafato,PLEXIGLASS,38,
DD10-901,Dp10 plexiglass interno etichette,PLEXIGLASS,60,
DD10-915,Dp10 Protezione elettronica dd10 in plexiglass,PLEXIGLASS,,
DD16-006-1,Protezione porta dp18 zincante +  vernice,MECCANICA,60,
DD16-006-INOX-1,Protezione porta dp18 INOX +  vernice,MECCANICA,70,
DD16-011-1,Protezione inferiore dp18 ZINCANTE +  vernice,MECCANICA,18,
DD16-011-INOX-1,Protezione inferiore dp18 INOX +  vernice,MECCANICA,22,
DD16-032,CANALE USCITA ARIA VENTOLA DP18,MECCANICA,,
DD16-033,SUPPORTO HOPPER DP18 NEW PER NUOVO SCIVOLO Scivolo new,MECCANICA,25,
DD16-058-1,PIASTRA SUPP. LETTORE BANCONOTE PER DP18/10,MECCANICA,18,
DD16-098,Cassetta monete zincata dd16-18,MECCANICA,50,
DD16-1000-1,Mobile DP18 + supporto silos,MECCANICA,800,
DD16-1100-1,Sportello verniciato DP18,MECCANICA,430,
DD16-112-316,SPORTELLO RITIRO RESTO VERNICIATO,MECCANICA,20,
DD16-1120,Cerniera porta DP18,MECCANICA,60,
DD16-114-1,Cornice bassa DP18 - Fondo zinc.+ Vernic. RAL9007,MECCANICA,,
DD16-114-INOX-1,CORNICI INFERIORE  DP18 SPORTELLO VERNICIATO,MECCANICA,95,
DD16-1140-1,Cornice superiore per sportello DP18 zincante + vernice,MECCANICA,75,
DD16-1140-INOX-1,CORNICI SUPERIORE DP18 SPORTELLO VERNICIATO,MECCANICA,90,
DD16-1142-1,Cornice verticale dx e sx per sportello DP18 zincante + vernice,MECCANICA,45,
DD16-1142-INOX-1,CORNICI LATERALI DP18 SPORTELLO VERNICIATO,MECCANICA,60,
DD16-901,PLEXIGLASS PORTA DP18 TASTI SERIGRAFATO + IMBALLO BLU CON STELLINE,PLEXIGLASS,295,
DD16-901-GR,PLEXIGLASS PORTA DP18 TASTI SERIGRAFATO + IMBALLO SENZA NAYAX E SENZA SELF2000,PLEXIGLASS,295,
DD16-901-GU,Plexiglass Pannello frontale DP18 sp.5 mm stampato Gucci SENZA Pos,PLEXIGLASS,300,
DD16-901-NY,PLEXIGLAS DP18 GRIGIO PER NAYAX,PLEXIGLASS,,
DD16-902,PLEXIGLASS PORTA DP18 TOUCH SERIGRAFATO,PLEXIGLASS,250,
DD16-903,PLEXIGLAS DP18 PER SELF2000 E SANEI,PLEXIGLASS,,
DD16-905,PLEXIGLASS INTERNO LEGENDE DP18 TASTI,PLEXIGLASS,43,
DD16-915,PLEXIGLASS PER PORTA PULSANTI DP18 TASTI,PLEXIGLASS,18,
DD18-037,STAFFA LUCCHETTO DP18,MECCANICA,18,
DD18-137,SCIVOLO RESTO NEW A FORMA DI OVAIA Scivolo new,MECCANICA,11,
DD18-253A,MODIFICA SCIVOLO RENDI RESTO DP18,MECCANICA,5,
DD18_163A,placca montaggio maniglia DP60-40-18,MECCANICA,45,
DD40-900-1-GUN,PLEXI DP40 SENZA LOGO - GUCCI,PLEXIGLASS,,
DD40-AD-00,ADESIVO COVID FREE VENDING,ACCESSORI,,
DD60-293,Lamiera supporto elettroserratura DP40 e DD60,MECCANICA,,
DD60-900-1-GU,PLEXI FRONTALE STAMPATO dd60 TOUCH,PLEXIGLASS,500,
DD60-901-1,,PLEXIGLASS,400,
DD60-909-1-GU,PANNELLO PORTA MONOLITICO DD60 SP.10 MM,PLEXIGLASS,730,
DD60-KIT-100,Kit per sostituzione da RaspBerry a Scheda PC,ELETTRONICA,,
DD60-KIT-98-R,KIT SELF 2000 SU DD60T,ACCESSORI,950,
DD60-KIT-99-R,KIT SELF 4000 SU DD60T,ACCESSORI,1100,
DD60-KIT-FC-R,KIT MICROSWITCH FINE CORSA GHIGLIOTTINA PER DD60 TOUCH,ELETTRONICA,60,
DD60-PS100,Costa sensibile PS100-610-2S,ELETTRONICA,,
DD8-1000-1,MOBILE DP8 NEW,MECCANICA,600,
DD8-1093 + ADES-75,Sport. Ritiro prodotto DD8 + ADES-75 Adesivo Sport. Ritiro prodotto DD8,MECCANICA,40,
DD8-900-1,PLEXIGLASS DP8 NEW,PLEXIGLASS,210,
DD8-KIT-01,CORNICE FISSAGGIO A MURO DP8 NEW 2018,MECCANICA,,
DIS-LCD-16X2-2-CPL,DISPLAY DP4 16X2 COMPLETO DI SCHEDA INTERFACCIA,ELETTRONICA,75,
DIS-LCD-240X128-V,DISPLAY GRAFICO 240x128 DP7 PAYTEC,ELETTRONICA,95,
DP10-KIT-01,KIT ILLUMINAZIONE PRODOTTI DP10,ELETTRONICA,30,
DP10-KIT-02,KIT ADESIVI PREZZI PRODOTTO,ACCESSORI,,
DP10-KIT-03,ELETTROMAGNETE ASS. CHIUSURA SPORTELLO RIT. PRODOTTI DP14-10-7-8new,ELETTRONICA,47,
DP10-KIT-04,DISPLAY ALFANUMERICO 20x2 CABLATO DP14-10,ELETTRONICA,75,
DP10-KIT-05,Sportello DP10 completo senza elettronica,MECCANICA,950,
DP16-013,Blocchetto cerniera regolazione zinc. b REV.A (1pz ogni macchina),MECCANICA,22,5
DP16-014,Blocchetto cerniera zinc.b (3pz ogni macchina),MECCANICA,17,5
DP16-015,DP16 Cerniera zincata bianca  (2pz ogni macchina),MECCANICA,18,5
DP16-050,PESO PICCOLO - DP16-8-18-10,MECCANICA,5,
DP16-053,PESO STANDARD - DP16-8-18-10,MECCANICA,5,5
DP16-086-1,SPORTELLO RECUPERO PRODOTTO DP16-8,MECCANICA,55,
DP16-100,FRONTALINO INS. MONETE,PLEXIGLASS,15,
DP16-110,CORNICE PLEXIGLASS RITIRO MONETE DP16-8,PLEXIGLASS,8,
DP16-111,dp16 Vaschetta raccolta monete di scarto acciao inox,MECCANICA,15,
DP16-112,DP16 Portellino vasch. rec. monete di scarto acc.inox,MECCANICA,7,
DP16-201-1,SUPPORTO ACCETTATORE BANCONOTE VERNICIATO DP16-8,MECCANICA,15,
DP16-202,CORNICE PLEXIGLASS ACCETTATORE BANCONOTE,PLEXIGLASS,12,
DP16-400,CORNICE FISSAGGIO A MURO DP16-18,MECCANICA,120,
DP16-900-1,CORNICE OBLO' SERIGRAFATA DP16,PLEXIGLASS,160,
DP16-905-1,DP16 Pannello Plexiglass frontale pulsantiera in anti uv,PLEXIGLASS,120,
DP16-910,CORNICE PLEXIGLASS RITIRO PRODOTTO DP16-8,PLEXIGLASS,30,
DP16-912,"DP16 Frontale bacheca ""legenda"" plexiglass anti uv",PLEXIGLASS,10,
DP16-915,CORNICE PLEXIGLASS STAMPANTE,PLEXIGLASS,10,
DP16-KIT-01,VASCA RITIRO PRODOTTO COMPLETA DP16/18,MECCANICA,215,
DP16-KIT-010,SPORTELLO ASSEMBLATO SENZA ELETTRONICA,MECCANICA,1200,
DP16-KIT-011,SPORTELLO DP16 COMPLETO DI ELETTRONICA,MECCANICA,2750,
DP16-KIT-015,KIT INSERITORE MONETE DP18-16-8,MECCANICA,90,
DP16-KIT-019,KIT PLAY DELIGHT DP18-16-10-8,MECCANICA,22,
DP16-KIT-020,Pannelo frontale tastire DP16 completo - senza elettronica,MECCANICA,250,
DP16-KIT-021,MOBILE DP16 COMPLETO DI SUPPORTI SILOS,MECCANICA,700,
DP16-KIT-03,DISPLAY GRAFICO 240x128 DP60-18-16-8 MICROHARD,ELETTRONICA,75,
DP16-KIT-04-U,SCHEDA TASTIERA MH465 DP16- RIGENERATO,ELETTRONICA,185,
DP16-KIT-05-U,SCHEDA TASTIERA MH466 DP16- RIGENERATO,ELETTRONICA,175,
DP18-DD-PORT-00,Adesivo sportello ritiro prodotti CEF per DP18,ADESIVI,,
DP18-KIT-01,KIT ILLUMINAZIONE PRODOTTI DP18 - modello nuovo,ELETTRONICA,50,
DP18-KIT-014,SPORTELLO ASS. SENZA ELETTRONICA,MECCANICA,1350,
DP18-KIT-015,MOBILE ASS. CON SUPP. SILOS - GUARNIZIONE - STAFFA LUCCHETTO E LUCCHETTO,MECCANICA,720,
DP18-KIT-04,KIT MOTORE ASSEMBLATO PER BLOCCO SPORTELLO RITIRO PRODOTTI,ELETTRONICA,45,
DP18-KIT-06,Kit illuminazione plexiglass frontale DP18,ELETTRONICA,43,
DP18-KIT-07,SPORTELLO ASSEMBLATO SENZA ELETTRONICA DP18 TOUCH,MECCANICA,1200,
DP18-KIT-08,KIT RIDUZIONE SILOS DP18/16/8,ACCESSORI,20,
DP18-KIT-09,SPORTELLO ASSEMBLATO SENZA ELETTRONICA DP18 PLEXI,MECCANICA,1500,
DP18-KIT-11,PLEXIGLASS PORTA DP18 TASTI SERIGRAFATO + IMBALLO BLU FUORI PRODUZIONE,PLEXIGLASS,295,
DP18-KIT-17,Toppa chiusura NAYAX DP18,ACCESSORI,,
DP18-KIT-SAN,Kit per installazione stampante SANEI su DP18 completo di cavi e fissaggi,PERIFERICHE,300,
DP24-KIT-01-R,KIT LED TETTOIA MH4-MH6 RICAMBIO,ELETTRONICA,,
DP30-008-1,TETTO DP30 VERNICIATO,MECCANICA,80,
DP30-020,SUPPORTO HOPPER NEW PER NUOVO SCIVOLO Scivolo new,MECCANICA,,
DP30-021-1,Chiusura inferiore posteriore DP30,MECCANICA,,
DP30-066,Staffa antiribalta DP30,MECCANICA,12,
DP30-1050-1,PORTA DP30 VERNICIATA,MECCANICA,650,
DP30-1090,SPORT. RIT. PRODOTTI DP30,MECCANICA,72,
DP30-1095,ROSTRI SPORT. RIT. PRODOTTI DP30,MECCANICA,22,
DP30-180A-1,CORNICE SUPERIORE DP30,MECCANICA,35,
DP30-181A-1,CORNICE LATERALE DP30,MECCANICA,25,
DP30-182-1,Cornice inferiore DP30,MECCANICA,,
DP30-182A-1,Cornice inferiore DP30,MECCANICA,35,
DP30-186-1,pettine per cassetto DP30,MECCANICA,,
DP30-296,LISTELLO CORTO PLEXIGLASS NEW DP30,MECCANICA,22,
DP30-297,LISTELLO LUNGO PLEXIGLASS NEW DP30,MECCANICA,35,
DP30-950-V,PLEXIGLASS FRONTALE VERDE CON STELLINE E LOGO DP30,PLEXIGLASS,,
DP30-950A,Plexiglass frontale DP30,PLEXIGLASS,550,
DP30-951,PLEXIGLASS BLU CON LOGO - NEW LISTELLI,PLEXIGLASS,550,
DP30-951-BB,PLEXIGLASS BIANCO SENZA LOGO - NEW LISTELLI,PLEXIGLASS,,
DP30-951-NL,PLEXIGLASS BLU SENZA LOGO - NEW LISTELLI,PLEXIGLASS,550,
DP30-KIT-01,TETTOIA DP30,ACCESSORI,210,
DP30-KIT-03,KIT CAVI E SWITCH DA ABBINARE A POS-001,ACCESSORI,50,
DP30-KIT-04,KIT LED TASTIERA PER DP30 E DP40,ELETTRONICA,,
DP40-004-1,CORNICE MOBILE DP40,MECCANICA,350,
DP40-015-1,Griglia canale aria gruppo frigo DP40 e DD60TOUCH - F.do zinc+Ral 9003,MECCANICA,45,
DP40-079,Asta lucchetto DP40 - Inox,MECCANICA,,
DP40-098,Cassetta raccolta moneta DP40 - PRZ + Vern 9016,MECCANICA,,
DP40-100-1,PORTA DP40,MECCANICA,1400,
DP40-1080,Portello ritiro prodotti DP40 - Inox,MECCANICA,80,
DP40-1091,Blocco portello ritiro prodotti DP40 - Inox,MECCANICA,40,
DP40-125-1,TOPPA SUPPORTO TASTIERA DP40 + VERN.9003,MECCANICA,30,
DP40-137,LAMIERA PROTEZIONE TASTIERA DP40,MECCANICA,8,
DP40-172-1,PALO DI FISSAGGIO CON TAGLIO IN CORRISPONDENZA DELLA GRIGLIA,MECCANICA,,
DP40-810-1,Cornice lat. SX e DX in alluminio per porta DP40,MECCANICA,60,
DP40-812-1,Cornice sup. e inf. in alluminio per porta DP40,MECCANICA,150,
DP40-900-1,PLEXIGLASS DP40 CON LOGO NUOVA GRAFICA DUREX,PLEXIGLASS,480,
DP40-900-1GU,PLEXI DP40 CON LOGO - GUCCI,PLEXIGLASS,500,
DP40-900-1N,PLEXIGLASS DP40 SENZA LOGO DUREX DP40,PLEXIGLASS,160,
DP40-925-1GR,PLEXIGLASS TASTIERA GRIGIO PER DP40,PLEXIGLASS,80,
DP40-936-1,PLEXI SOLO QR DP40,PLEXIGLASS,18,
DP40-952,LEXAN TETTOIA DP40,PLEXIGLASS,150,
DP40-KIT-00,TETTOIA DP40 COMPLETA DI ACCESSORI,ACCESSORI,250,
DP40-KIT-01,KIT PLACCHE E CAVI PER NAYAX DA ABBINARE A POS-001,ACCESSORI,110,
DP40-KIT-02,GRUPPO FRIGO DP40 CON R134,PERIFERICHE,750,
DP40-KIT-98-R,KIT SELF 2000 SU DP40,ACCESSORI,950,
DP40-KIT-99-R,KIT POS SELF 4000 PER DP40,ACCESSORI,,
DP40-KIT-FC-R,KIT MICROSWITCH FINE CORSA GHIGLIOTTINA PER DP40 E DP60,ELETTRONICA,60,
DP40-KIT-SAN,Kit per installazione stampante SANEI su DP40 completo di cavi e fissaggi,PERIFERICHE,300,
DP60-058-1,SUPPORTO LETT. BANCONOTE DP60,MECCANICA,15,
DP60-067,ROSTRO DP60 SUPERIORE,MECCANICA,35,
DP60-068,ROSTRO DP60 INFERIORE,MECCANICA,27,
DP60-079-1,Cornice inferiore porta DP60 - verniciato,MECCANICA,35,
DP60-1001,Supporto binario cella frigo inox,MECCANICA,,
DP60-110,Vasca ritiro monete dp60 inox,MECCANICA,30,
DP60-112,Portellino vaschetta rit. mon. dp60 inox,MECCANICA,7,
DP60-134,Staffa Lucchetto DP60,MECCANICA,35,
DP60-169,Lamiera supporto elettromagnete DP60,MECCANICA,,
DP60-175,PIEDE ANTIRIBALTAMENTO PER FISSAGGIO POSTERIORE (VETRINA),MECCANICA,,
DP60-185-A,pettine per cassetto DP60,MECCANICA,7,
DP60-222-1,PALO PER FISSAGGIO DP60/40,ACCESSORI,150,
DP60-253-1,Cornice porta laterale SX - DP60,MECCANICA,60,
DP60-254-1,Cornice porta laterale DX - DP60,MECCANICA,60,
DP60-294-1,Chiusura laterale base primer+vernice,MECCANICA,12,
DP60-296,LISTELLO ZONA DISPLAY,MECCANICA,13,
DP60-320-1,RINFORZO LATERALE PORTA VERNICIATO DP60,MECCANICA,75,
DP60-323-1,CHIUSURA POSTERIORE MOBILE GRIGLIATO PER INST. A MURO,MECCANICA,,
DP60-368,Copertura barra led frontale inferiore inox,MECCANICA,21,
DP60-900-1,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BLU CON LOGO DUREX,PLEXIGLASS,720,
DP60-900-1BB,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BIANCO BLU NO LOGO DUREX,PLEXIGLASS,,
DP60-900-1BV,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BIANCO VERDE NO LOGO DUREX,PLEXIGLASS,,
DP60-900-1N,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO BLU NO LOGO DUREX,PLEXIGLASS,,
DP60-900-1V,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO VERDE NO LOGO DUREX,PLEXIGLASS,,
DP60-900-1VD,PLEXIGLASS PORTA ANTERIORE DP60 SERIGRAFATO VERDE CON LOGO DUREX,PLEXIGLASS,,
DP60-902-1,Plexiglass frontale inferiore dp60 serigrafo BLU,PLEXIGLASS,250,
DP60-902-1BB,PLEXIGLASS FRONTALE INFERIORE DP60 BIANCO BLU,PLEXIGLASS,,
DP60-902-1BV,PLEXIGLASS FRONTALE INFERIORE DP60 BIANCO VERDE,PLEXIGLASS,,
DP60-902-1V,PLEXIGLASS FRONTALE INFERIORE DP60 VERDE,PLEXIGLASS,,
DP60-920-1,PLEXIGLASS TASTIERA DP60 SERIGRAFATO BLU,PLEXIGLASS,70,
DP60-920-1BB,PLEXIGLASS TASTIERA DP60 SERIGRAFATO BIANCO BLU,PLEXIGLASS,,
DP60-920-1BV,PLEXIGLASS TASTIERA DP60 SERIGRAFATO BIANCO VERDE,PLEXIGLASS,,
DP60-920-1V,PLEXIGLASS TASTIERA DP60 SERIGRAFATO VERDE,PLEXIGLASS,,
DP60-928,ADESIVO PER SPORT. RIT. PROD. DP60,PLEXIGLASS,18,
DP60-929-1,PLEXIGLASS FRONTALE PK3 E STAMPANTE BLU,PLEXIGLASS,39,
DP60-929-1BB,PLEXIGLASS FRONTALE PK3 E STAMPANTE BIANCO BLU,PLEXIGLASS,,
